timestamp,GNSS_deformation
2019-09-29 11:59:00+00:00,0.01712
2019-09-30 11:59:00+00:00,0.012530000000000001
2019-10-01 11:59:00+00:00,0.0096299999999999997
2019-10-02 11:59:00+00:00,0.0088100000000000001
2019-10-03 11:59:00+00:00,0.011560000000000001
2019-10-04 11:59:00+00:00,0.012140000000000001
2019-10-05 11:59:00+00:00,0.01302
2019-10-06 11:59:00+00:00,0.011040000000000001
2019-10-07 11:59:00+00:00,0.010700000000000001
2019-10-08 11:59:00+00:00,0.010780000000000001
2019-10-09 11:59:00+00:00,0.013440000000000001
2019-10-10 11:59:00+00:00,0.01512
2019-10-11 11:59:00+00:00,0.0096200000000000001
2019-10-12 11:59:00+00:00,0.011950000000000001
2019-10-13 11:59:00+00:00,0.0087299999999999999
2019-10-14 11:59:00+00:00,0.013320000000000002
2019-10-15 11:59:00+00:00,0.010370000000000001
2019-10-16 11:59:00+00:00,0.015699999999999999
2019-10-17 11:59:00+00:00,0.010610000000000001
2019-10-18 11:59:00+00:00,0.012290000000000001
2019-10-19 11:59:00+00:00,0.0094699999999999993
2019-10-20 11:59:00+00:00,0.011779999999999999
2019-10-21 11:59:00+00:00,0.010659999999999999
2019-10-22 11:59:00+00:00,0.016309999999999998
2019-10-23 11:59:00+00:00,0.01338
2019-10-24 11:59:00+00:00,0.0045000000000000005
2019-10-25 11:59:00+00:00,0.013399999999999999
2019-10-26 11:59:00+00:00,0.00562
2019-10-27 11:59:00+00:00,0.01073
2019-10-28 11:59:00+00:00,0.01465
2019-10-29 11:59:00+00:00,0.01226
2019-10-30 11:59:00+00:00,0.012700000000000001
2019-10-31 11:59:00+00:00,0.015379999999999998
2019-11-01 11:59:00+00:00,0.0089599999999999992
2019-11-02 11:59:00+00:00,0.0088199999999999997
2019-11-03 11:59:00+00:00,0.0093699999999999999
2019-11-04 11:59:00+00:00,0.0081300000000000001
2019-11-05 11:59:00+00:00,0.0083300000000000006
2019-11-06 11:59:00+00:00,0.011199999999999998
2019-11-07 11:59:00+00:00,0.012760000000000001
2019-11-08 11:59:00+00:00,0.01559
2019-11-09 11:59:00+00:00,0.013850000000000001
2019-11-10 11:59:00+00:00,0.015370000000000002
2019-11-11 11:59:00+00:00,0.015879999999999998
2019-11-12 11:59:00+00:00,0.017930000000000001
2019-11-13 11:59:00+00:00,0.01549
2019-11-14 11:59:00+00:00,0.01269
2019-11-15 11:59:00+00:00,0.019279999999999999
2019-11-16 11:59:00+00:00,0.01367
2019-11-17 11:59:00+00:00,0.017940000000000001
2019-11-18 11:59:00+00:00,0.01345
2019-11-19 11:59:00+00:00,0.015059999999999999
2019-11-20 11:59:00+00:00,0.01349
2019-11-21 11:59:00+00:00,0.012809999999999998
2019-11-22 11:59:00+00:00,0.0097000000000000003
2019-11-23 11:59:00+00:00,0.01423
2019-11-24 11:59:00+00:00,0.014120000000000001
2019-11-25 11:59:00+00:00,0.013080000000000001
2019-11-26 11:59:00+00:00,0.015720000000000001
2019-11-27 11:59:00+00:00,0.0098899999999999995
2019-11-28 11:59:00+00:00,0.012119999999999999
2019-11-29 11:59:00+00:00,0.014970000000000001
2019-11-30 11:59:00+00:00,0.013940000000000001
2019-12-01 11:59:00+00:00,0.016969999999999999
2019-12-02 11:59:00+00:00,0.016129999999999999
2019-12-03 11:59:00+00:00,0.015689999999999999
2019-12-04 11:59:00+00:00,0.015799999999999998
2019-12-05 11:59:00+00:00,0.014260000000000002
2019-12-06 11:59:00+00:00,0.017329999999999998
2019-12-07 11:59:00+00:00,0.02121
2019-12-08 11:59:00+00:00,0.014409999999999999
2019-12-09 11:59:00+00:00,0.015869999999999999
2019-12-10 11:59:00+00:00,0.010620000000000001
2019-12-11 11:59:00+00:00,0.008150000000000001
2019-12-12 11:59:00+00:00,0.012289999999999999
2019-12-13 11:59:00+00:00,0.013990000000000001
2019-12-14 11:59:00+00:00,0.013040000000000001
2019-12-15 11:59:00+00:00,0.014879999999999999
2019-12-16 11:59:00+00:00,0.019179999999999999
