time,hydro_2_5,spectral_log_ratio_4p5_8_over_8_16,effect_tremor_5_15,rainfall_mm,pressure_drop,GNSS_deformation_rate
2019-10-01 12:00:00+00:00,2.3617472649746026e-06,0.5325539682518058,0.0,0.0,-0.1999999999999318,-0.004589999999999999
2019-10-01 13:00:00+00:00,2.451776744745302e-06,0.6150281369534348,0.0,0.0,-0.10000000000002274,-0.004589999999999999
2019-10-01 14:00:00+00:00,2.4178661145418566e-06,0.6391153583071381,0.02472397947973448,0.0,0.0,-0.004589999999999999
2019-10-01 15:00:00+00:00,2.533627300221391e-06,0.6391153583071381,0.010133472972166047,0.0,0.0,-0.004589999999999999
2019-10-01 16:00:00+00:00,2.5159645533551713e-06,0.6789575550849671,0.09980702067961111,0.0,-0.2999999999999545,-0.004589999999999999
2019-10-01 17:00:00+00:00,2.3120229074369786e-06,0.6285515146162097,0.13952031584915758,0.0,-0.6000000000000227,-0.004589999999999999
2019-10-01 18:00:00+00:00,2.3295368408466523e-06,0.5722931154338458,0.06042715014141464,0.0,-0.7000000000000455,-0.004589999999999999
2019-10-01 19:00:00+00:00,2.3426874908918107e-06,0.5239477644236905,0.0890431666866327,0.0,-0.39999999999997726,-0.004589999999999999
2019-10-01 20:00:00+00:00,2.4412343662210743e-06,0.47482353550253686,0.23307532737042713,0.0,-0.6000000000000227,-0.004589999999999999
2019-10-01 21:00:00+00:00,2.409199843298284e-06,0.45538693671342756,0.26940489600379536,0.0,-0.39999999999997726,-0.004589999999999999
2019-10-01 22:00:00+00:00,2.4637858405198698e-06,0.3913518325176028,0.2833015171639559,0.0,0.6000000000000227,-0.004589999999999999
2019-10-01 23:00:00+00:00,2.3660504261013907e-06,0.32168558375857764,0.3469679255214597,0.0,0.5,-0.004589999999999999
2019-10-02 00:00:00+00:00,2.2876878757135934e-06,0.2740896517289279,0.09613665258348547,0.0,1.1000000000000227,-0.0029000000000000015
2019-10-02 01:00:00+00:00,2.3147421011804123e-06,0.2740896517289279,0.188273060979947,0.0,0.599999999999909,-0.0029000000000000015
2019-10-02 02:00:00+00:00,2.420734614084851e-06,0.2584721989465062,0.26613830131043414,0.0,0.8000000000000682,-0.0029000000000000015
2019-10-02 03:00:00+00:00,2.5730694233918507e-06,0.21077627453231754,0.4177046433423346,0.1,1.5,-0.0029000000000000015
