timestamp,hydro_2_5,ratio_4p5_8_over_8_16,event_rate_2_5,effect_tremor_5_15,rain_12h_sum,pressure_drop,GNSS_deformation
2019-10-01 12:00:00+00:00,2.3617472649746026e-06,1.7060948267112246,3.0,0.0,0.8,-0.1999999999999318,0.00963
2019-10-01 13:00:00+00:00,2.451776744745302e-06,1.85660353642429,1.0,0.008253951087723976,0.2,-0.10000000000002274,0.00963
2019-10-01 14:00:00+00:00,2.4178661145418566e-06,1.902839058715049,1.0,0.03404036427545876,0.2,0.0,0.00963
2019-10-01 15:00:00+00:00,2.533627300221391e-06,1.902839058715049,0.0,0.015462380919258223,0.0,0.0,0.00963
2019-10-01 16:00:00+00:00,2.5159645533551713e-06,1.9730104926886272,0.0,0.07549902837081568,0.0,-0.2999999999999545,0.00963
2019-10-01 17:00:00+00:00,2.3120229074369786e-06,1.882357833683475,1.0,0.08121887302458042,0.0,-0.6000000000000227,0.00963
2019-10-01 18:00:00+00:00,2.3295368408466523e-06,1.7798275157899972,1.0,0.036931204132017115,0.0,-0.7000000000000455,0.00963
2019-10-01 19:00:00+00:00,2.3426874908918107e-06,1.6955507450237632,5.0,0.041293729388556244,0.0,-0.39999999999997726,0.00963
2019-10-01 20:00:00+00:00,2.4412343662210743e-06,1.619057097926384,1.0,0.1506249573321199,0.0,-0.6000000000000227,0.00963
2019-10-01 21:00:00+00:00,2.409199843298284e-06,1.5939371386519334,4.0,0.18298276444046024,0.0,-0.39999999999997726,0.00963
2019-10-01 22:00:00+00:00,2.4637858405198698e-06,1.496821021800201,0.0,0.2153493563694333,0.0,0.6000000000000227,0.00963
2019-10-01 23:00:00+00:00,2.3660504261013907e-06,1.3924188560445083,4.0,0.30349387267380656,0.0,0.5,0.00963
2019-10-02 00:00:00+00:00,2.2876878757135934e-06,1.3319763482153255,4.0,0.08275421358162305,0.0,1.1000000000000227,0.00881
2019-10-02 01:00:00+00:00,2.3147421011804123e-06,1.3319763482153255,11.0,0.14033019246012302,0.0,0.599999999999909,0.00881
2019-10-02 02:00:00+00:00,2.420734614084851e-06,1.3073825339299912,7.0,0.21594264709837674,0.0,0.8000000000000682,0.00881
2019-10-02 03:00:00+00:00,2.5730694233918507e-06,1.2460062357394524,5.0,0.35551997140560054,0.1,1.5,0.00881
2019-10-02 04:00:00+00:00,2.643098812963721e-06,1.194167603043415,6.0,0.5486534891812695,0.2,0.8999999999999773,0.00881
2019-10-02 05:00:00+00:00,2.9768233392848636e-06,1.105926397476742,9.0,0.8096576258908783,0.5,0.10000000000002274,0.00881
2019-10-02 06:00:00+00:00,3.447297112221881e-06,1.0898577598400987,8.0,1.074846209217565,0.5,0.1999999999999318,0.00881
2019-10-02 07:00:00+00:00,3.3530874454782266e-06,0.871092585580737,11.0,0.9146204741268225,0.5,-0.6999999999999318,0.00881
2019-10-02 08:00:00+00:00,2.993273529963145e-06,0.6818597876727536,5.0,0.6115585717745287,0.5,-0.8999999999999773,0.00881
2019-10-02 09:00:00+00:00,2.7773048196049855e-06,0.6244177635500282,12.0,0.3412573520906719,0.5,-0.40000000000009095,0.00881
2019-10-02 10:00:00+00:00,2.637423554790312e-06,0.6244177635500282,8.0,0.14738262688013748,0.5,-0.6999999999999318,0.00881
2019-10-02 11:00:00+00:00,2.484313518592665e-06,0.6244177635500282,8.0,0.05138732986094574,0.5,-0.8999999999999773,0.00881
2019-10-02 12:00:00+00:00,2.4656074355482473e-06,0.7393066385179352,5.0,0.0,0.5,-0.5,0.00881
2019-10-02 13:00:00+00:00,2.4049005025823245e-06,0.9069321454312438,8.0,0.0,0.5,-0.900000000000091,0.00881
2019-10-02 14:00:00+00:00,2.458788742205417e-06,1.0393368509628083,6.0,0.0,0.5,-1.0,0.00881
2019-10-02 15:00:00+00:00,2.390630167002824e-06,1.1060036690575386,6.0,0.0,0.4,-0.1999999999999318,0.00881
2019-10-02 16:00:00+00:00,2.3971912098329623e-06,1.2314477049161274,7.0,0.0,0.3,-0.5,0.00881
2019-10-02 17:00:00+00:00,2.3701961496898483e-06,1.3364970467498698,8.0,0.0,0.0,-0.6000000000000227,0.00881
2019-10-02 18:00:00+00:00,2.4358608467786222e-06,1.400900818207254,8.0,0.0,0.0,-0.7999999999999545,0.00881
2019-10-02 19:00:00+00:00,2.434840744943228e-06,1.5727329186099626,3.0,0.0,0.0,-0.8000000000000682,0.00881
2019-10-02 20:00:00+00:00,2.4694791426108897e-06,1.727743020889441,5.0,0.0,0.0,-0.39999999999997726,0.00881
2019-10-02 21:00:00+00:00,2.388624396733908e-06,1.7791233300226859,11.0,0.0,0.0,-0.7000000000000455,0.00881
2019-10-02 22:00:00+00:00,2.307757491194503e-06,1.8111443077050593,2.0,0.0,0.0,-0.09999999999990905,0.00881
2019-10-02 23:00:00+00:00,2.276340260659494e-06,1.8382071873449577,3.0,0.0,0.0,0.1999999999999318,0.00881
2019-10-03 00:00:00+00:00,2.3021958371553876e-06,1.845815519478647,6.0,0.0,0.0,-0.39999999999997726,0.01156
2019-10-03 01:00:00+00:00,2.3148829532108375e-06,1.88338263085117,5.0,0.0,0.0,0.20000000000004547,0.01156
2019-10-03 02:00:00+00:00,2.3008388965256883e-06,1.8862823328808944,7.0,0.0,0.0,0.6999999999999318,0.01156
2019-10-03 03:00:00+00:00,2.333653202136833e-06,1.8862823328808944,9.0,0.0,0.0,1.0,0.01156
2019-10-03 04:00:00+00:00,2.3735518552428325e-06,1.9361506196303009,8.0,0.0,0.0,0.20000000000004547,0.01156
2019-10-03 05:00:00+00:00,2.377985667184367e-06,1.9361506196303009,4.0,0.00014076867945789218,0.0,-0.10000000000002274,0.01156
2019-10-03 06:00:00+00:00,2.4237889989912688e-06,1.9411149248646957,7.0,0.0054015615649181115,0.0,0.0,0.01156
2019-10-03 07:00:00+00:00,2.4343034558736786e-06,1.937101878916545,5.0,0.04558872619853105,0.0,-0.10000000000002274,0.01156
2019-10-03 08:00:00+00:00,2.3484954681484566e-06,1.937101878916545,9.0,0.017509444498113425,0.0,-0.6999999999999318,0.01156
2019-10-03 09:00:00+00:00,2.5071893638004846e-06,1.937101878916545,9.0,0.020879967376181696,0.0,0.09999999999990905,0.01156
2019-10-03 10:00:00+00:00,2.9787139067736687e-06,1.8839187629738516,1.0,0.020548012557544126,0.2,-0.2999999999999545,0.01156
2019-10-03 11:00:00+00:00,2.0246132378183186e-06,1.8839187629738516,5.0,0.0,0.4,0.0,0.01156
2019-10-03 12:00:00+00:00,2.1088711876009204e-06,1.8839187629738516,4.0,0.0,0.6000000000000001,-0.20000000000004547,0.01156
2019-10-03 13:00:00+00:00,2.2876018208962068e-06,1.8915099851994581,11.0,0.0,0.7000000000000001,0.20000000000004547,0.01156
2019-10-03 14:00:00+00:00,2.2593920526983794e-06,2.0777544755051345,6.0,0.0,0.7000000000000001,0.0,0.01156
2019-10-03 15:00:00+00:00,2.197619630157238e-06,2.241840805475527,6.0,0.0,0.7000000000000001,-0.20000000000004547,0.01156
2019-10-03 16:00:00+00:00,2.38668681309602e-06,2.241840805475527,10.0,0.0,0.7000000000000001,-0.09999999999990905,0.01156
2019-10-03 17:00:00+00:00,2.315217463951071e-06,2.241840805475527,7.0,0.0,0.7000000000000001,-0.3000000000000682,0.01156
2019-10-03 18:00:00+00:00,2.2423982101119693e-06,2.1225579764679963,7.0,0.0,0.7000000000000001,-0.6999999999999318,0.01156
2019-10-03 19:00:00+00:00,2.2018540926113655e-06,1.9876230639587678,4.0,0.0,0.7000000000000001,-1.0,0.01156
2019-10-03 20:00:00+00:00,2.389146784358713e-06,1.9623554172462803,7.0,0.0,0.7000000000000001,-0.7000000000000455,0.01156
2019-10-03 21:00:00+00:00,2.3251082108502274e-06,1.9623554172462803,4.0,0.0,0.7000000000000001,-0.39999999999997726,0.01156
2019-10-03 22:00:00+00:00,2.2883754335954943e-06,1.9623554172462803,4.0,0.0,0.5,-0.10000000000002274,0.01156
2019-10-03 23:00:00+00:00,2.371573746078943e-06,1.97029790891441,5.0,0.03979581342533933,0.30000000000000004,0.0,0.01156
2019-10-04 00:00:00+00:00,2.4280817408113326e-06,2.0101430935751976,5.0,0.04303258723595249,0.1,0.2999999999999545,0.012140000000000001
2019-10-04 01:00:00+00:00,2.3232213858068904e-06,2.031294795388348,2.0,0.0,0.0,0.10000000000002274,0.012140000000000001
2019-10-04 02:00:00+00:00,2.422018617847413e-06,2.0344428730445117,6.0,0.033723231806828124,0.0,0.0,0.012140000000000001
2019-10-04 03:00:00+00:00,2.4518843595040857e-06,2.0344428730445117,8.0,0.032119340502887894,0.0,0.8000000000000682,0.012140000000000001
2019-10-04 04:00:00+00:00,2.412966114299652e-06,2.0221666468559163,5.0,0.036399285732402475,0.0,0.39999999999997726,0.012140000000000001
2019-10-04 05:00:00+00:00,2.458590816593164e-06,2.0161789515911734,8.0,0.03676900610041578,0.0,-0.20000000000004547,0.012140000000000001
2019-10-04 06:00:00+00:00,2.4639540215215703e-06,2.0031978158145396,8.0,0.04508096670063466,0.0,-0.1999999999999318,0.012140000000000001
2019-10-04 07:00:00+00:00,2.4940250183328802e-06,1.9935190274856978,5.0,0.10367398624172353,0.0,-0.10000000000002274,0.012140000000000001
2019-10-04 08:00:00+00:00,2.5253061118058667e-06,1.9935190274856978,7.0,0.10303648161236367,0.0,-0.20000000000004547,0.012140000000000001
2019-10-04 09:00:00+00:00,2.6431870531084942e-06,1.9935190274856978,7.0,0.1340501269729213,0.0,-0.1999999999999318,0.012140000000000001
2019-10-04 10:00:00+00:00,2.991149321822956e-06,2.018886453112465,5.0,0.04939708636415574,0.0,0.09999999999990905,0.012140000000000001
2019-10-04 11:00:00+00:00,2.32807604266828e-06,2.0524014086813978,16.0,0.0,0.0,-0.09999999999990905,0.012140000000000001
2019-10-04 12:00:00+00:00,2.177107310213261e-06,2.098405557898968,6.0,0.0,0.0,0.2999999999999545,0.012140000000000001
2019-10-04 13:00:00+00:00,3.1585486048365277e-06,2.151981949187695,11.0,0.15454500285131445,0.0,0.10000000000002274,0.012140000000000001
2019-10-04 14:00:00+00:00,3.3193844716075713e-06,2.151981949187695,10.0,0.12580659405404226,0.0,0.5,0.012140000000000001
2019-10-04 15:00:00+00:00,2.7285900053095525e-06,2.1822959992126347,2.0,0.046877196828690515,0.0,0.2999999999999545,0.012140000000000001
2019-10-04 16:00:00+00:00,2.530926801232189e-06,2.1822959992126347,5.0,0.008467113568020324,0.0,-0.10000000000002274,0.012140000000000001
2019-10-04 17:00:00+00:00,2.6671729418832534e-06,2.136234094974383,8.0,0.017190598937778745,0.0,0.10000000000002274,0.012140000000000001
2019-10-04 18:00:00+00:00,2.7667752696466032e-06,2.0564663685407534,3.0,0.042165017317799425,0.0,-0.5,0.012140000000000001
2019-10-04 19:00:00+00:00,2.87447331809403e-06,2.020843095772361,1.0,0.07018570763488086,0.0,-0.2999999999999545,0.012140000000000001
