timestamp,hydro_rms_2_5_scaled,ratio_4p5_8_over_8_16_scaled,hf_event_rate_2_5_scaled,effect_tremor_rms_5_15_scaled,API_scaled,pressure_drop_scaled,SO2_flux_scaled,GNSS_deformation_scaled,local_eq_count_1h_scaled
2019-10-01 00:00:00+00:00,-0.28147431417396485,0.5962723871738714,-1.0602936690286402,-1.1287932702193793,,0.0,,-0.9902098383805332,-0.1457949175366577
2019-10-01 01:00:00+00:00,1.5135004609983795,0.03683747096697379,-1.5676855877839126,-0.010137809168188178,-0.3526492583619215,0.6744907594768508,1.5677108921521883,-0.9902098383805332,-0.1457949175366577
2019-10-01 02:00:00+00:00,1.8484347593137036,0.5914577206607202,-0.7002933735312947,-0.05219034495197136,-0.36269070648222795,1.5738117721121407,0.9326399433437488,-0.9902098383805332,-0.1457949175366577
2019-10-01 03:00:00+00:00,1.7848992306052782,-0.3014435755594217,-1.5676855877839126,0.17380235275158684,-0.3054833948573358,1.348981518953446,0.5382860672741276,-0.9902098383805332,-0.1457949175366577
2019-10-01 04:00:00+00:00,1.7258528604225125,0.07116947498655778,-1.5676855877839126,0.04858680025353264,-0.31781033601745334,0.8993210126355454,0.6179551638315693,-0.9902098383805332,-0.1457949175366577
2019-10-01 05:00:00+00:00,2.445778371203082,-0.08268885860089893,-2.4350778020365302,0.14736397486797154,-0.32954139290831935,-0.22483025315869468,0.6937164785999942,-0.9902098383805332,-0.1457949175366577
2019-10-01 06:00:00+00:00,1.6153363662722915,-0.122570803351763,-1.0602936690286402,0.06701495286362849,-0.34070442766542836,-0.22483025315895028,0.7659355083422825,-0.9902098383805332,-0.1457949175366577
2019-10-01 07:00:00+00:00,1.0866803412321664,-0.2580337077247869,-0.4210554504768188,0.05183454208708279,-0.35132608897386475,-0.6744907594768508,,-0.9902098383805332,-0.1457949175366577
2019-10-01 08:00:00+00:00,1.4907950482000385,-0.45036824622857274,-2.4350778020365302,0.17198998622748107,-0.36143185641947123,-0.22483025315869468,,-0.9902098383805332,-0.1457949175366577
2019-10-01 09:00:00+00:00,1.4666498565286867,-0.05445682381173003,-2.4350778020365302,0.1139047994421243,-0.37104608405205486,-0.44966050631790055,,-0.9902098383805332,-0.1457949175366577
