timestamp,hydro_rms_2_5,ratio_4p5_8_over_8_16,hf_event_rate_2_5,effect_tremor_rms_5_15,API,pressure_drop,SO2_flux,GNSS_deformation,local_eq_count_1h
2019-10-01 00:00:00+00:00,1.5692876415233974e-06,1.9321121972230995,1.0,2.480016682832723e-06,,,,0.00963,0.0
2019-10-01 01:00:00+00:00,2.3481929314415457e-06,1.7562268902867026,1.0,3.7707504116867673e-06,0.20512820512820515,0.10000000000002274,11.4497105,0.00963,0.0
2019-10-01 02:00:00+00:00,2.496109802333233e-06,1.9780381280939814,3.0,3.7220280788764344e-06,0.13321647677475898,0.8999999999999773,7.253356285714285,0.00963,0.0
2019-10-01 03:00:00+00:00,2.468050636094769e-06,1.6209368485781315,1.0,3.983864185479829e-06,0.12426294686478655,0.6000000000000227,5.3939815,0.00963,0.0
2019-10-01 04:00:00+00:00,2.4419740154645353e-06,1.7699573841045488,1.0,3.838788814999314e-06,0.0967977665454254,0.39999999999997726,,0.00963,0.0
2019-10-01 05:00:00+00:00,2.7599144249064975e-06,1.7084242781780794,0.0,3.953232278000715e-06,0.0785277017343101,-0.10000000000002274,,0.00963,0.0
2019-10-01 06:00:00+00:00,2.393166670348468e-06,1.6924741368293477,2.0,3.86013983357459e-06,0.06551188958427469,-0.10000000000002274,,0.00963,0.0
2019-10-01 07:00:00+00:00,2.1596966017510862e-06,1.6382979939553188,4.0,3.842551819084742e-06,0.05577988329595808,-0.39999999999997726,,0.00963,0.0
2019-10-01 08:00:00+00:00,2.3381655518886214e-06,1.561376986101708,0.0,3.9817641550015766e-06,0.04823697670392084,-0.10000000000002274,,0.00963,0.0
2019-10-01 09:00:00+00:00,2.3275023235576007e-06,1.7197152245299703,0.0,3.914466402761968e-06,0.04222633413288973,-0.1999999999999318,,0.00963,0.0
2019-10-01 10:00:00+00:00,2.5011376936988525e-06,1.9960203868290487,0.0,3.803921008370417e-06,0.03732995853348182,0.2999999999999545,,0.00963,0.0
2019-10-01 11:00:00+00:00,2.5500145963977097e-06,1.9934916323320155,3.0,3.855976832354974e-06,0.03326917556713199,-0.0,,0.00963,0.0
2019-10-01 12:00:00+00:00,2.3617472649661018e-06,2.0818503015849825,3.0,3.733136676921677e-06,0.029851048128527135,-0.2999999999999545,,0.00963,0.0
2019-10-01 13:00:00+00:00,2.451776744780789e-06,1.8121862774643442,1.0,3.875606723212649e-06,0.026937756086202837,-0.0,,0.00963,0.0
2019-10-01 14:00:00+00:00,2.4178661145323516e-06,1.7474684719527602,1.0,3.987589608490696e-06,0.024428224138902912,-0.10000000000002274,,0.00963,0.0
2019-10-01 15:00:00+00:00,2.5336273002299683e-06,1.9525291535070473,0.0,3.918333153143474e-06,0.02224663923646818,-0.0,,0.00963,0.0
2019-10-01 16:00:00+00:00,2.515964553358206e-06,1.594481142364516,0.0,4.172041508841167e-06,0.020335020685161024,-0.20000000000004547,,0.00963,0.0
2019-10-01 17:00:00+00:00,2.312022907460712e-06,1.4002488638950679,1.0,4.199067414993969e-06,0.0186482668929053,-0.599999999999909,,0.00963,0.0
2019-10-01 18:00:00+00:00,2.329536840802494e-06,1.64363267960179,1.0,4.018862830624136e-06,0.017150766307594132,-0.7000000000000455,,0.00963,0.0
2019-10-01 19:00:00+00:00,2.3426874909018074e-06,1.593392740630546,5.0,4.045137954639523e-06,0.01581402508034109,-0.6000000000000227,,0.00963,0.0
2019-10-01 20:00:00+00:00,2.441234366214111e-06,1.3845883087941326,1.0,4.551847548079406e-06,0.014614972544823163,-0.5,,0.00963,0.0
2019-10-01 21:00:00+00:00,2.4091998433568377e-06,1.2793637930958457,4.0,4.729723262959487e-06,0.013534728843437026,-0.5,,0.00963,0.0
2019-10-01 22:00:00+00:00,2.4637858404634747e-06,1.1756864939991833,0.0,4.892503455687124e-06,0.012557694046384868,0.7000000000000455,11.823264,0.00963,0.0
2019-10-01 23:00:00+00:00,1.6815547125174746e-06,0.9949048086283149,5.0,3.8396674258223425e-06,0.01873290240893538,0.6000000000000227,,0.00963,0.0
2019-10-02 00:00:00+00:00,1.6097163080912054e-06,1.4753119939158459,6.0,3.0041311394687207e-06,0.017436705889196134,1.1999999999999318,4.082292,0.00881,0.0
2019-10-02 01:00:00+00:00,2.3147421011856287e-06,1.3354006322349796,11.0,4.587139123164094e-06,0.016252918948224053,0.7000000000000455,6.6699655,0.00881,0.0
2019-10-02 02:00:00+00:00,2.4207346140660634e-06,1.212647981012907,7.0,4.977916199895191e-06,0.015168893682376394,0.6999999999999318,6.748881222222222,0.00881,0.0
2019-10-02 03:00:00+00:00,2.5730694234121795e-06,0.967066678579566,5.0,5.74952869953142e-06,0.020733974939935746,1.6000000000000227,,0.00881,0.0
2019-10-02 04:00:00+00:00,2.643098812957842e-06,0.7751176468404403,6.0,7.035717284136113e-06,0.025854092789145963,1.0,,0.00881,0.0
2019-10-02 05:00:00+00:00,2.9768233392738234e-06,0.5886012676010214,9.0,9.24213249924667e-06,0.04330758391045561,0.20000000000004547,,0.00881,0.0
2019-10-02 06:00:00+00:00,3.4472971123002856e-06,0.5075568850453271,8.0,1.2316045356936531e-05,0.04058757667317294,-0.10000000000002274,,0.00881,0.0
2019-10-02 07:00:00+00:00,3.3530874454248732e-06,0.5424442023486579,11.0,1.0664322591725486e-05,0.0380706378919034,-0.6000000000000227,,0.00881,0.0
2019-10-02 08:00:00+00:00,2.993273530008226e-06,0.6602336049646312,5.0,7.944459622842572e-06,0.03573780414329169,-0.7999999999999545,,0.00881,0.0
2019-10-02 09:00:00+00:00,2.777304819601852e-06,0.8183788153411443,12.0,6.274063478800789e-06,0.033572336972253286,-0.39999999999997726,,0.00881,0.0
2019-10-02 10:00:00+00:00,2.637423554792948e-06,0.9954844949009923,8.0,5.318217978032679e-06,0.03155940568346395,-0.8000000000000682,,0.00881,0.0
2019-10-02 11:00:00+00:00,2.484313518603256e-06,1.0831881925596891,8.0,4.9112009976987215e-06,0.0296858229936513,-0.8999999999999773,,0.00881,0.0
2019-10-02 12:00:00+00:00,2.4656074354266477e-06,1.1288181424748833,5.0,4.789461106313261e-06,0.027939823542695943,-0.5,,0.00881,0.0
2019-10-02 13:00:00+00:00,2.4049005027068443e-06,1.3340762437581626,8.0,4.5700158844343906e-06,0.026310877367302678,-1.0,,0.00881,0.0
2019-10-02 14:00:00+00:00,2.458788742218464e-06,1.3389168511099623,6.0,4.641268494756863e-06,0.024789532060814374,-1.0,,0.00881,0.0
