station,channel,location,metadata_start_date,metadata_end_date,actual_data_start_date,actual_data_end_date,actual_data_ranges,missing_dates,lat,lon,distance_km,ok_days,n_days,ok_fraction,mean_probe_coverage,min_probe_coverage,n_error_days,sample_rates,channel_rank
MMME,HHZ,,2004-07-12,2012-05-16,2008-04-12,2008-05-12,2008-04-12 to 2008-05-12,2008-05-13,37.9352,15.2539,30.56631165703795,31,32,0.96875,0.96875,0.0,1,100.0,1
MMME,BHZ,,2004-07-12,2012-05-16,2008-04-12,2008-05-12,2008-04-12 to 2008-05-12,2008-05-13,37.9352,15.2539,30.56631165703795,31,32,0.96875,0.9687447916666667,0.0,1,20.0,2
MMME,LHZ,,2004-07-12,2012-05-16,2008-04-12,2008-05-12,2008-04-12 to 2008-05-12,2008-05-13,37.9352,15.2539,30.56631165703795,31,32,0.96875,0.96875,0.0,1,1.0,5
MMME,VHZ,,2004-07-12,2012-05-16,2008-04-12,2008-05-12,2008-04-12 to 2008-05-12,2008-05-13,37.9352,15.2539,30.56631165703795,31,32,0.96875,0.96875,0.0,1,0.1,6
GALF,HHZ,,2006-10-27,2018-04-18,2008-04-12,2008-05-13,2008-04-12 to 2008-05-06; 2008-05-08 to 2008-05-13,2008-05-07,37.7107,14.5665,38.261725284918505,31,32,0.96875,0.9646984375000001,0.0,1,100.0,1
GALF,BHZ,,2006-10-27,2018-04-18,2008-04-12,2008-05-13,2008-04-12 to 2008-05-06; 2008-05-08 to 2008-05-13,2008-05-07,37.7107,14.5665,38.261725284918505,31,32,0.96875,0.9646744791666667,0.0,1,20.0,2
GALF,LHZ,,2006-10-27,2018-04-18,2008-04-12,2008-05-13,2008-04-12 to 2008-05-06; 2008-05-08 to 2008-05-13,2008-05-07,37.7107,14.5665,38.261725284918505,31,32,0.96875,0.9643229166666667,0.0,1,1.0,5
GALF,VHZ,,2006-10-27,2018-04-18,2008-04-12,2008-05-13,2008-04-12 to 2008-05-06; 2008-05-08 to 2008-05-13,2008-05-07,37.7107,14.5665,38.261725284918505,31,32,0.96875,0.9625,0.0,1,0.1,6
ME02,EHZ,,2007-10-19,2009-02-03,2008-04-12,2008-05-12,2008-04-12 to 2008-05-12,2008-05-13,38.033211,14.590067,47.890705124183675,31,32,0.96875,0.96875,0.0,1,125.0,3
MTTG,SHZ,,2003-03-01,2009-02-27,2008-04-12,2008-05-13,2008-04-12; 2008-04-14 to 2008-05-13,2008-04-13,38.0031,15.69992,67.74492694370812,31,32,0.96875,0.9764718750000001,0.5682,0,50.0,4
ME07,EHZ,,2007-11-22,2008-05-10,2008-04-12,2008-05-10,2008-04-12 to 2008-05-10,"2008-05-11, 2008-05-12, 2008-05-13",38.08128,14.811569,40.54282537176917,29,32,0.90625,0.90625,0.0,3,125.0,3
IVPL,HHZ,,2005-05-11,open/unknown,2008-04-12,2008-05-13,2008-04-12 to 2008-04-24; 2008-04-27 to 2008-04-28; 2008-05-06 to 2008-05-13,"2008-04-25, 2008-04-26, 2008-04-29, 2008-04-30, 2008-05-01, 2008-05-02, 2008-05-03, 2008-05-04, 2008-05-05",38.3763,14.9801,69.88336381804221,23,32,0.71875,0.7427072916666666,0.0,7,100.0,1
IVPL,BHZ,,2005-05-11,open/unknown,2008-04-12,2008-05-13,2008-04-12 to 2008-04-24; 2008-04-27 to 2008-04-28; 2008-05-06 to 2008-05-13,"2008-04-25, 2008-04-26, 2008-04-29, 2008-04-30, 2008-05-01, 2008-05-02, 2008-05-03, 2008-05-04, 2008-05-05",38.3763,14.9801,69.88336381804221,23,32,0.71875,0.74221875,0.0,7,20.0,2
IVPL,LHZ,,2005-05-11,open/unknown,2008-04-12,2008-05-13,2008-04-12 to 2008-04-24; 2008-04-27 to 2008-04-28; 2008-05-06 to 2008-05-13,"2008-04-25, 2008-04-26, 2008-04-29, 2008-04-30, 2008-05-01, 2008-05-02, 2008-05-03, 2008-05-04, 2008-05-05",38.3763,14.9801,69.88336381804221,23,32,0.71875,0.7309895833333333,0.0,7,1.0,5
IVPL,VHZ,,2005-05-11,open/unknown,2008-04-12,2008-05-13,2008-04-12 to 2008-04-24; 2008-04-27 to 2008-04-28; 2008-05-06 to 2008-05-13,"2008-04-25, 2008-04-26, 2008-04-29, 2008-04-30, 2008-05-01, 2008-05-02, 2008-05-03, 2008-05-04, 2008-05-05",38.3763,14.9801,69.88336381804221,23,32,0.71875,0.7276041666666666,0.0,7,0.1,6
ECNV,HHZ,,2007-01-30,2017-09-09,2008-04-12,2008-05-04,2008-04-12 to 2008-04-16; 2008-04-18 to 2008-05-04,"2008-04-17, 2008-05-05, 2008-05-06, 2008-05-07, 2008-05-08, 2008-05-09, 2008-05-10, 2008-05-11, 2008-05-12, 2008-05-13",37.5956,14.7125,30.381062858204213,22,32,0.6875,0.7384999999999999,0.0,4,100.0,1
ECNV,BHZ,,2007-01-30,2017-09-09,2008-04-12,2008-05-04,2008-04-12 to 2008-04-16; 2008-04-18 to 2008-05-04,"2008-04-17, 2008-05-05, 2008-05-06, 2008-05-07, 2008-05-08, 2008-05-09, 2008-05-10, 2008-05-11, 2008-05-12, 2008-05-13",37.5956,14.7125,30.381062858204213,22,32,0.6875,0.7376067708333334,0.0,4,20.0,2
ILOS,HHZ,,2005-05-11,2023-10-20,2008-04-12,2008-05-13,2008-04-12 to 2008-04-23; 2008-04-27 to 2008-04-28; 2008-05-06 to 2008-05-13,"2008-04-24, 2008-04-25, 2008-04-26, 2008-04-29, 2008-04-30, 2008-05-01, 2008-05-02, 2008-05-03, 2008-05-04, 2008-05-05",38.4457,14.9483,77.70745017202847,22,32,0.6875,0.7373401041666666,0.0,7,100.0,1
ILOS,BHZ,,2005-05-11,2023-10-20,2008-04-12,2008-05-13,2008-04-12 to 2008-04-23; 2008-04-27 to 2008-04-28; 2008-05-06 to 2008-05-13,"2008-04-24, 2008-04-25, 2008-04-26, 2008-04-29, 2008-04-30, 2008-05-01, 2008-05-02, 2008-05-03, 2008-05-04, 2008-05-05",38.4457,14.9483,77.70745017202847,22,32,0.6875,0.7368229166666667,0.0,7,20.0,2
ILOS,LHZ,,2005-05-11,2023-10-20,2008-04-12,2008-05-13,2008-04-12 to 2008-04-23; 2008-04-27 to 2008-04-28; 2008-05-06 to 2008-05-13,"2008-04-24, 2008-04-25, 2008-04-26, 2008-04-29, 2008-04-30, 2008-05-01, 2008-05-02, 2008-05-03, 2008-05-04, 2008-05-05",38.4457,14.9483,77.70745017202847,22,32,0.6875,0.7249479166666667,0.0,7,1.0,5
ILOS,VHZ,,2005-05-11,2023-10-20,2008-04-12,2008-05-13,2008-04-12 to 2008-04-23; 2008-04-27 to 2008-04-28; 2008-05-06 to 2008-05-13,"2008-04-24, 2008-04-25, 2008-04-26, 2008-04-29, 2008-04-30, 2008-05-01, 2008-05-02, 2008-05-03, 2008-05-04, 2008-05-05",38.4457,14.9483,77.70745017202847,22,32,0.6875,0.7145833333333333,0.0,7,0.1,6
ECNV,LHZ,,2007-01-30,2017-09-09,2008-04-12,2008-05-03,2008-04-12 to 2008-04-16; 2008-04-18 to 2008-05-03,"2008-04-17, 2008-05-04, 2008-05-05, 2008-05-06, 2008-05-07, 2008-05-08, 2008-05-09, 2008-05-10, 2008-05-11, 2008-05-12, 2008-05-13",37.5956,14.7125,30.381062858204213,21,32,0.65625,0.7193229166666667,0.0,4,1.0,5
ECNV,VHZ,,2007-01-30,2017-09-09,2008-04-12,2008-05-02,2008-04-12 to 2008-05-02,"2008-05-03, 2008-05-04, 2008-05-05, 2008-05-06, 2008-05-07, 2008-05-08, 2008-05-09, 2008-05-10, 2008-05-11, 2008-05-12, 2008-05-13",37.5956,14.7125,30.381062858204213,21,32,0.65625,0.6859375,0.0,4,0.1,6
ATN,EHZ,01,2007-11-15,2008-04-14,2008-04-12,2008-04-14,2008-04-12 to 2008-04-14,"2008-04-15, 2008-04-16, 2008-04-17, 2008-04-18, 2008-04-19, 2008-04-20, 2008-04-21, 2008-04-22, 2008-04-23, 2008-04-24, 2008-04-25, 2008-04-26, 2008-04-27, 2008-04-28, 2008-04-29, 2008-04-30, 2008-05-01, 2008-05-02, 2008-05-03, 2008-05-04, 2008-05-05, 2008-05-06, 2008-05-07, 2008-05-08, 2008-05-09, 2008-05-10, 2008-05-11, 2008-05-12, 2008-05-13",38.15948,15.46472,61.32550442997968,3,32,0.09375,0.09375,0.0,29,125.0,3
ME15,HHZ,,2008-05-12,2010-01-31,none/open,none/open,,"2008-04-12, 2008-04-13, 2008-04-14, 2008-04-15, 2008-04-16, 2008-04-17, 2008-04-18, 2008-04-19, 2008-04-20, 2008-04-21, 2008-04-22, 2008-04-23, 2008-04-24, 2008-04-25, 2008-04-26, 2008-04-27, 2008-04-28, 2008-04-29, 2008-04-30, 2008-05-01, 2008-05-02, 2008-05-03, 2008-05-04, 2008-05-05, 2008-05-06, 2008-05-07, 2008-05-08, 2008-05-09, 2008-05-10, 2008-05-11, 2008-05-12, 2008-05-13",38.170807,14.898788,47.82785121963536,0,32,0.0,0.0,0.0,32,,1
HCRL,HHZ,,2008-03-31,2018-08-25,none/open,none/open,,"2008-04-12, 2008-04-13, 2008-04-14, 2008-04-15, 2008-04-16, 2008-04-17, 2008-04-18, 2008-04-19, 2008-04-20, 2008-04-21, 2008-04-22, 2008-04-23, 2008-04-24, 2008-04-25, 2008-04-26, 2008-04-27, 2008-04-28, 2008-04-29, 2008-04-30, 2008-05-01, 2008-05-02, 2008-05-03, 2008-05-04, 2008-05-05, 2008-05-06, 2008-05-07, 2008-05-08, 2008-05-09, 2008-05-10, 2008-05-11, 2008-05-12, 2008-05-13",37.2831,15.0323,51.77788560591118,0,32,0.0,0.0,0.0,32,,1
MILZ,VHZ,,2008-02-26,open/unknown,none/open,none/open,,"2008-04-12, 2008-04-13, 2008-04-14, 2008-04-15, 2008-04-16, 2008-04-17, 2008-04-18, 2008-04-19, 2008-04-20, 2008-04-21, 2008-04-22, 2008-04-23, 2008-04-24, 2008-04-25, 2008-04-26, 2008-04-27, 2008-04-28, 2008-04-29, 2008-04-30, 2008-05-01, 2008-05-02, 2008-05-03, 2008-05-04, 2008-05-05, 2008-05-06, 2008-05-07, 2008-05-08, 2008-05-09, 2008-05-10, 2008-05-11, 2008-05-12, 2008-05-13",38.2713,15.2313,61.64477547271431,0,32,0.0,0.0,0.0,32,,6
IVUG,HHZ,,2007-04-13,open/unknown,none/open,none/open,,"2008-04-12, 2008-04-13, 2008-04-14, 2008-04-15, 2008-04-16, 2008-04-17, 2008-04-18, 2008-04-19, 2008-04-20, 2008-04-21, 2008-04-22, 2008-04-23, 2008-04-24, 2008-04-25, 2008-04-26, 2008-04-27, 2008-04-28, 2008-04-29, 2008-04-30, 2008-05-01, 2008-05-02, 2008-05-03, 2008-05-04, 2008-05-05, 2008-05-06, 2008-05-07, 2008-05-08, 2008-05-09, 2008-05-10, 2008-05-11, 2008-05-12, 2008-05-13",38.396,14.986,72.06329785409052,0,32,0.0,0.0,0.0,32,,1
IVUG,BHZ,,2007-04-13,open/unknown,none/open,none/open,,"2008-04-12, 2008-04-13, 2008-04-14, 2008-04-15, 2008-04-16, 2008-04-17, 2008-04-18, 2008-04-19, 2008-04-20, 2008-04-21, 2008-04-22, 2008-04-23, 2008-04-24, 2008-04-25, 2008-04-26, 2008-04-27, 2008-04-28, 2008-04-29, 2008-04-30, 2008-05-01, 2008-05-02, 2008-05-03, 2008-05-04, 2008-05-05, 2008-05-06, 2008-05-07, 2008-05-08, 2008-05-09, 2008-05-10, 2008-05-11, 2008-05-12, 2008-05-13",38.396,14.986,72.06329785409052,0,32,0.0,0.0,0.0,32,,2
IVUG,LHZ,,2007-04-13,open/unknown,none/open,none/open,,"2008-04-12, 2008-04-13, 2008-04-14, 2008-04-15, 2008-04-16, 2008-04-17, 2008-04-18, 2008-04-19, 2008-04-20, 2008-04-21, 2008-04-22, 2008-04-23, 2008-04-24, 2008-04-25, 2008-04-26, 2008-04-27, 2008-04-28, 2008-04-29, 2008-04-30, 2008-05-01, 2008-05-02, 2008-05-03, 2008-05-04, 2008-05-05, 2008-05-06, 2008-05-07, 2008-05-08, 2008-05-09, 2008-05-10, 2008-05-11, 2008-05-12, 2008-05-13",38.396,14.986,72.06329785409052,0,32,0.0,0.0,0.0,32,,5
IVUG,VHZ,,2007-04-13,open/unknown,none/open,none/open,,"2008-04-12, 2008-04-13, 2008-04-14, 2008-04-15, 2008-04-16, 2008-04-17, 2008-04-18, 2008-04-19, 2008-04-20, 2008-04-21, 2008-04-22, 2008-04-23, 2008-04-24, 2008-04-25, 2008-04-26, 2008-04-27, 2008-04-28, 2008-04-29, 2008-04-30, 2008-05-01, 2008-05-02, 2008-05-03, 2008-05-04, 2008-05-05, 2008-05-06, 2008-05-07, 2008-05-08, 2008-05-09, 2008-05-10, 2008-05-11, 2008-05-12, 2008-05-13",38.396,14.986,72.06329785409052,0,32,0.0,0.0,0.0,32,,6
