run,backend,lag,accepted,f_stat,critical_f,p_value,rss_reduced,rss_full,rss_reduction_ratio,gamma_2,trigger,cause,trigger_source,reason,experiment_type,split_id,representative_min_I2_length,supported_min_I2_lengths,n_supporting_min_I2_values,split_timestamp,case_pre_days,case_post_days,reference_days,alpha,pcmci_pc_alpha,pcmci_plus_pc_alpha,pcmci_alpha_level,pcmci_fdr_method,conditional_independence_test,bh_adjusted_p_value,accepted_after_bh,backend_label,trigger_source_label,reference_criterion,cause_label,trigger_label
hmml,hmml,8,False,0.11176491668529032,3.9984944816680152,0.7392903999754534,7.374460429273831,7.360973567020705,0.0018288608885320416,0.017983260057126367,GNSS_deformation_rate_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,0.7972650836293568,False,HMML (baseline),Lagged,,Hydrothermal RMS (2–5 Hz),Lagged GNSS deformation change
hmml,hmml,8,False,0.20575072913195733,3.9984944816680152,0.6517281533768657,6.489754483655938,6.467938368323755,0.003361624139576588,0.034975111623141375,hydro_2_5_scaled,spectral_log_ratio_4p5_8_over_8_16_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,0.7458014618588478,False,HMML (baseline),Lagged,,Past-smoothed spectral contrast (4.5–8 / 8–16 Hz),Hydrothermal RMS (2–5 Hz)
hmml,hmml,9,True,9.075687296700467,4.001191376754996,0.0037891586442111436,7.5960982474863705,6.598065291649335,0.13138757863845366,-0.1289239509100651,spectral_log_ratio_4p5_8_over_8_16_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,0.01936681084819029,True,HMML (baseline),Lagged,,Hydrothermal RMS (2–5 Hz),Past-smoothed spectral contrast (4.5–8 / 8–16 Hz)
hmml,hmml,9,False,0.30880883535524045,4.001191376754996,0.5804783670790429,9.403330981124471,9.355181602205905,0.005120459868446371,0.036843982956508724,GNSS_deformation_rate_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,0.684666791939384,False,HMML (baseline),Lagged,,Hydrothermal RMS (2–5 Hz),Lagged GNSS deformation change
hmml,hmml,9,False,2.2652726797594678,4.001191376754996,0.13754938521043425,5.695486677728703,5.48827919571302,0.03638099669795293,0.10699219692470643,hydro_2_5_scaled,spectral_log_ratio_4p5_8_over_8_16_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,0.26363632165333234,False,HMML (baseline),Lagged,,Past-smoothed spectral contrast (4.5–8 / 8–16 Hz),Hydrothermal RMS (2–5 Hz)
hmml,hmml,10,True,32.12337325672185,4.003982503130608,4.569765337247844e-07,10.556668085455467,6.8351663769858035,0.3525261643488623,-0.2664401440333818,spectral_log_ratio_4p5_8_over_8_16_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,1.023181594206335e-05,True,HMML (baseline),Lagged,,Hydrothermal RMS (2–5 Hz),Past-smoothed spectral contrast (4.5–8 / 8–16 Hz)
hmml,hmml,10,True,5.344128614758607,4.003982503130608,0.02430226262151136,14.733876415389325,13.510148124200088,0.08305541981545811,0.20541712849511456,hydro_2_5_scaled,spectral_log_ratio_4p5_8_over_8_16_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,0.07889442079462307,False,HMML (baseline),Lagged,,Past-smoothed spectral contrast (4.5–8 / 8–16 Hz),Hydrothermal RMS (2–5 Hz)
hmml,hmml,10,False,0.0012996412542867202,4.003982503130608,0.9713637591490314,4.876671112345484,4.876563692288642,2.202733265519457e-05,-0.0015718313584265902,GNSS_deformation_rate_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,0.9820380861726471,False,HMML (baseline),Lagged,,Hydrothermal RMS (2–5 Hz),Lagged GNSS deformation change
hmml,hmml,10,False,0.00034638556268536396,4.003982503130608,0.9852138770422711,5.582344579238745,5.582311805811356,5.870907272675336e-06,0.00047407912472596325,pressure_drop_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,0.9852138770422713,False,HMML (baseline),Lagged,,Hydrothermal RMS (2–5 Hz),Pressure drop
hmml,hmml,11,True,23.8186685630978,4.006872886332733,8.646705055626036e-06,21.24422917490349,15.059708423318671,0.2911153283401216,-0.41391301045796614,spectral_log_ratio_4p5_8_over_8_16_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,0.00011364240930251362,True,HMML (baseline),Lagged,,Hydrothermal RMS (2–5 Hz),Past-smoothed spectral contrast (4.5–8 / 8–16 Hz)
