run,backend,lag,f_test_rejected,f_stat,critical_f,p_value,rss_reduced,rss_full,rss_reduction_ratio,gamma_2,hierarchical_f_rejected,hierarchical_f_stat,hierarchical_f_p_value,hierarchical_gamma_2,hierarchical_rss_reduced,hierarchical_rss_full,hierarchical_residual_lag1,hierarchical_effective_n,hierarchical_denominator_df,hierarchical_reason,newey_west_6_lag,newey_west_6_standard_error,newey_west_6_test_statistic,newey_west_6_p_value,newey_west_6_rejected,newey_west_6_reason,newey_west_12_lag,newey_west_12_standard_error,newey_west_12_test_statistic,newey_west_12_p_value,newey_west_12_rejected,newey_west_12_reason,newey_west_24_lag,newey_west_24_standard_error,newey_west_24_test_statistic,newey_west_24_p_value,newey_west_24_rejected,newey_west_24_reason,trigger,cause,trigger_source,reason,experiment_type,split_id,fit_min_I2_length,min_I2_values,n_min_I2_values,split_timestamp,case_pre_days,case_post_days,reference_days,alpha,pcmci_pc_alpha,pcmci_plus_pc_alpha,pcmci_alpha_level,pcmci_fdr_method,conditional_independence_test,newey_west_lags,bh_adjusted_p_value,f_test_rejected_after_bh,hierarchical_f_bh_adjusted_p_value,hierarchical_f_rejected_after_bh,newey_west_6_bh_adjusted_p_value,newey_west_6_rejected_after_bh,newey_west_12_bh_adjusted_p_value,newey_west_12_rejected_after_bh,newey_west_24_bh_adjusted_p_value,newey_west_24_rejected_after_bh,backend_label,trigger_source_label,reference_criterion,cause_label,trigger_label
hmml,hmml,5,True,16.013448203920653,3.9909237717402837,0.00016587947340494964,8.705418214422195,6.963164045912476,0.20013445943623256,0.26020497460637554,True,9.556393737719805,0.0029665156573043497,0.22106465837450937,7.814677690582937,6.785407448534488,-0.03368868479244109,67.0,63.0,,6.0,0.08245394392584769,2.6810683376566775,0.00935650100439599,True,,12.0,0.08836750013771852,2.5016511503662056,0.014971723893508952,True,,24.0,0.0897411242416728,2.463359582828296,0.016507785167427715,True,,hydro_2_5_scaled,spectral_log_ratio_4p5_8_over_8_16_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",0.0012717426294379473,True,0.027291944047200017,True,0.03742600401758396,True,0.049192807078672275,True,0.043391892440095704,True,HMML,Lagged,,Past-smoothed spectral contrast (4.5–8 / 8–16 Hz),Hydrothermal RMS (2–5 Hz)
hmml,hmml,5,False,0.18957426674161235,3.9909237717402837,0.6647360855698408,12.507152851311314,12.470214853857714,0.0029533498065251384,0.0308758946653261,False,0.6600614036284802,0.4195977341842686,-0.05965175669667877,11.035411592607636,10.920990570936748,0.256419056581963,67.0,63.0,,6.0,0.044766384993393755,-1.3325122568079077,0.18749164801411977,False,,12.0,0.04243431119392402,-1.405743489603763,0.16471308501741933,False,,24.0,0.03800529885104855,-1.5695642055195418,0.12152591533381765,False,,GNSS_deformation_rate_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",0.7458014618588458,False,0.6031717428898861,False,0.319952422992018,False,0.261269031406941,False,0.18633973684518707,False,HMML,Lagged,,Hydrothermal RMS (2–5 Hz),Lagged GNSS deformation change
hmml,hmml,5,False,3.8263569111418656,3.9909237717402837,0.05481979401786642,7.13448511836104,6.732000189444046,0.056414011977006365,-0.07870705592366933,False,1.5406809499412653,0.21911836229790946,-0.06735432187175258,6.885817212249034,6.721442631015251,0.0353885973007474,67.0,63.0,,6.0,0.03774287284114062,-1.7845573694203476,0.07914803991401252,False,,12.0,0.027307739776750866,-2.4664920063833473,0.01637700130969403,True,,24.0,0.02122996548296487,-3.1726062826526187,0.002335744352611279,True,,spectral_log_ratio_4p5_8_over_8_16_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",0.14009502915676975,False,0.3733127653964384,False,0.18670819672023467,False,0.05022280401639502,False,0.008953686685009904,True,HMML,Lagged,,Hydrothermal RMS (2–5 Hz),Past-smoothed spectral contrast (4.5–8 / 8–16 Hz)
hmml,hmml,6,True,11.772668208291256,3.993364923882093,0.001066202070557243,7.795233407476824,6.567903973989573,0.15744614296090922,-0.14327355093207067,False,2.5915984080353307,0.11251216498539024,-0.08985618486647262,6.62468531328385,6.35888412033016,0.23302182848396524,66.0,62.0,,6.0,0.04871005657187477,-1.8447152639595918,0.06985693456441312,False,,12.0,0.04056634538425432,-2.2150426422526586,0.030440099187946393,True,,24.0,0.028880724299853458,-3.1112857120044097,0.0028152212204731095,True,,spectral_log_ratio_4p5_8_over_8_16_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",0.006896120839817957,True,0.23525270860581593,False,0.1836239422836002,False,0.08751528516534587,False,0.010360014091341043,True,HMML,Lagged,,Hydrothermal RMS (2–5 Hz),Past-smoothed spectral contrast (4.5–8 / 8–16 Hz)
hmml,hmml,6,False,0.07143172070269821,3.993364923882093,0.7901364857480844,9.204169421432418,9.193745214442421,0.0011325527065727179,0.015673959123607282,False,0.510737036533818,0.4775022857330027,-0.04676371481893016,8.718398014197616,8.647165311206269,0.32392389238123703,66.0,62.0,,6.0,0.03511290387162975,-1.3318099519736373,0.18779816132140187,False,,12.0,0.029378306838316912,-1.5917770576872787,0.11652106705195778,False,,24.0,0.020314512550742146,-2.3019855732261587,0.024707820760418223,True,,GNSS_deformation_rate_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",0.8260517805548154,False,0.6366697143106702,False,0.319952422992018,False,0.21019486605451207,False,0.061064753077659434,False,HMML,Lagged,,Hydrothermal RMS (2–5 Hz),Lagged GNSS deformation change
hmml,hmml,6,False,2.6578227226987368,3.993364923882093,0.10803175535307007,8.3044162969687,7.968254276701119,0.04047990951396403,0.13652587546846837,False,3.2130208214418197,0.07793334091288669,0.157934655626872,8.294884423444643,7.886198611496822,0.1311345845413302,66.0,62.0,,6.0,0.08042686195141997,1.9637053068447314,0.05405249676951751,False,,12.0,0.08414187494942137,1.8770042350709242,0.0652246346547754,False,,24.0,0.07197487247286892,2.194302680930846,0.03196943450256847,True,,hydro_2_5_scaled,spectral_log_ratio_4p5_8_over_8_16_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",0.21192568473272164,False,0.18868072010488354,False,0.15540092821236284,False,0.1471500739645334,False,0.07541507626246921,False,HMML,Lagged,,Past-smoothed spectral contrast (4.5–8 / 8–16 Hz),Hydrothermal RMS (2–5 Hz)
hmml,hmml,7,True,4.238331112090489,3.9958871259107287,0.04372887927464818,6.383633192711736,5.975169532553107,0.06398607937325985,-0.08018060220394561,False,1.747438464522727,0.19113503100328166,-0.0692942877354935,6.136473106440601,5.965579928884574,0.32364609456153204,65.0,61.0,,6.0,0.041068467228100064,-1.6872869238246277,0.09665590044129393,False,,12.0,0.03655989345735653,-1.8953635030779936,0.06278512000067256,False,,24.0,0.025760416518103565,-2.689952147582543,0.009205226724486279,True,,spectral_log_ratio_4p5_8_over_8_16_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",0.11832520274316567,False,0.3437953722876535,False,0.20827273780842326,False,0.1471500739645334,False,0.025663056322810233,True,HMML,Lagged,,Hydrothermal RMS (2–5 Hz),Past-smoothed spectral contrast (4.5–8 / 8–16 Hz)
hmml,hmml,7,False,0.3908883186752551,3.9958871259107287,0.5341273225471963,7.646781449225367,7.598873210947084,0.006265150716859593,0.03466441845156366,False,0.0029824542357721547,0.9566261701656975,-0.0034513926669373744,7.412680320333695,7.412317912154121,0.35956558425926577,65.0,61.0,,6.0,0.03449670521761614,-0.100049922019071,0.9206327905249716,False,,12.0,0.02524236802063953,-0.13673014608278147,0.8916943761267528,False,,24.0,0.01970048244162024,-0.17519330692358007,0.8615079782990214,False,,GNSS_deformation_rate_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",0.6471351507988817,False,0.9566261701656975,False,0.9307496343768943,False,0.9014932154248491,False,0.8709750989396701,False,HMML,Lagged,,Hydrothermal RMS (2–5 Hz),Lagged GNSS deformation change
hmml,hmml,7,False,2.6554494979099235,3.9958871259107287,0.10826638241780345,6.921823830968045,6.637539153353064,0.04107077622274924,0.11928043753697204,False,2.2212721405053566,0.14127387738251404,0.11425373211241441,6.872713011293167,6.631241028449385,0.15591204695273728,65.0,61.0,,6.0,0.06642031310402804,1.720162504104268,0.09047283356626915,False,,12.0,0.05999479935980184,1.9043939363345472,0.06157758028575919,False,,24.0,0.053269051546394774,2.1448426205393374,0.03595676547507826,True,,hydro_2_5_scaled,spectral_log_ratio_4p5_8_over_8_16_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",0.21192568473272164,False,0.2765361004083254,False,0.20808751720241903,False,0.1471500739645334,False,0.0806834737489561,False,HMML,Lagged,,Past-smoothed spectral contrast (4.5–8 / 8–16 Hz),Hydrothermal RMS (2–5 Hz)
hmml,hmml,8,True,8.507133044887198,3.9984944816680152,0.0049446047674554915,7.052186139099608,6.1890533480537435,0.12239223044048375,-0.11851207130834845,False,2.6131962051790567,0.11122426906367233,-0.08880460420039858,6.389368913971387,6.122705085714397,0.3698159987018514,64.0,60.0,,6.0,0.0488974671062289,-1.8161391469924633,0.07434578270677263,False,,12.0,0.04734725241326596,-1.875602060818146,0.06557775035375944,False,,24.0,0.033331177844273446,-2.6643104127703636,0.009893797370086119,True,,spectral_log_ratio_4p5_8_over_8_16_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",0.023942296768731854,True,0.23525270860581593,False,0.18485978402765085,False,0.1471500739645334,False,0.026771451707291852,True,HMML,Lagged,,Hydrothermal RMS (2–5 Hz),Past-smoothed spectral contrast (4.5–8 / 8–16 Hz)
hmml,hmml,8,False,0.11176491668529032,3.9984944816680152,0.7392903999754593,7.374460429273831,7.360973567020705,0.0018288608885320416,0.017983260057126367,False,0.07589327551388679,0.7838883974614475,-0.017166594867525146,7.2216549431232195,7.212531898614316,0.3456649975027851,64.0,60.0,,6.0,0.03709240854442626,-0.46280615201799036,0.6451775045711852,False,,12.0,0.025738995988124614,-0.6669488924682774,0.5073616265796972,False,,24.0,0.021397373332536142,-0.8022758027697814,0.42555976741532775,False,,GNSS_deformation_rate_scaled,hydro_2_5_scaled,lagged,,unique_split_backend_max_lag_grid,S1,72,[72],1,2019-12-10 01:00:00+00:00,7,4,14,0.05,0.2,0.01,0.05,fdr_bh,robust_parcorr,"[6, 12, 24]",0.7972650836293617,False,0.8903423773636194,False,0.760978595135244,False,0.657426333032847,False,0.5514295577776078,False,HMML,Lagged,,Hydrothermal RMS (2–5 Hz),Lagged GNSS deformation change
