section,backend,partition,cause,trigger,trigger_source,lag,metric,value,details
backend_by_unique_split,PCMCI,S1,,,,,result,Accepted pair(s) at 1 maximum-lag order(s),"{""Minimum-I2 support"": ""[72]"", ""Successful runs"": ""12/12"", ""Post-split parent lags"": ""9/12"", ""Trigger-candidate lags"": ""9/12"", ""Accepted-pair lags"": ""1/12"", ""τ=0-link lags"": ""0/12"", ""Warning runs"": ""0/12""}"
backend_by_unique_split,PCMCI+ with eligible τ=0 triggers,S1,,,,,result,Candidates found; none passed moderation,"{""Minimum-I2 support"": ""[72]"", ""Successful runs"": ""12/12"", ""Post-split parent lags"": ""6/12"", ""Trigger-candidate lags"": ""6/12"", ""Accepted-pair lags"": ""0/12"", ""τ=0-link lags"": ""2/12"", ""Warning runs"": ""0/12""}"
backend_by_unique_split,HMML (baseline),S2,,,,,result,Accepted pair(s) at 7 maximum-lag order(s),"{""Minimum-I2 support"": ""[60]"", ""Successful runs"": ""12/12"", ""Post-split parent lags"": ""9/12"", ""Trigger-candidate lags"": ""9/12"", ""Accepted-pair lags"": ""7/12"", ""τ=0-link lags"": ""0/12"", ""Warning runs"": ""12/12""}"
backend_by_unique_split,PCMCI,S2,,,,,result,Accepted pair(s) at 1 maximum-lag order(s),"{""Minimum-I2 support"": ""[60]"", ""Successful runs"": ""12/12"", ""Post-split parent lags"": ""5/12"", ""Trigger-candidate lags"": ""5/12"", ""Accepted-pair lags"": ""1/12"", ""τ=0-link lags"": ""0/12"", ""Warning runs"": ""0/12""}"
backend_by_unique_split,PCMCI+ with eligible τ=0 triggers,S2,,,,,result,Candidates found; none passed moderation,"{""Minimum-I2 support"": ""[60]"", ""Successful runs"": ""12/12"", ""Post-split parent lags"": ""2/12"", ""Trigger-candidate lags"": ""2/12"", ""Accepted-pair lags"": ""0/12"", ""τ=0-link lags"": ""0/12"", ""Warning runs"": ""0/12""}"
backend_by_unique_split,HMML (baseline),S3,,,,,result,Accepted pair(s) at 4 maximum-lag order(s),"{""Minimum-I2 support"": ""[36, 48]"", ""Successful runs"": ""12/12"", ""Post-split parent lags"": ""10/12"", ""Trigger-candidate lags"": ""10/12"", ""Accepted-pair lags"": ""4/12"", ""τ=0-link lags"": ""0/12"", ""Warning runs"": ""12/12""}"
backend_by_unique_split,PCMCI,S3,,,,,result,Accepted pair(s) at 1 maximum-lag order(s),"{""Minimum-I2 support"": ""[36, 48]"", ""Successful runs"": ""12/12"", ""Post-split parent lags"": ""5/12"", ""Trigger-candidate lags"": ""5/12"", ""Accepted-pair lags"": ""1/12"", ""τ=0-link lags"": ""0/12"", ""Warning runs"": ""0/12""}"
backend_by_unique_split,PCMCI+ with eligible τ=0 triggers,S3,,,,,result,Candidates found; none passed moderation,"{""Minimum-I2 support"": ""[36, 48]"", ""Successful runs"": ""12/12"", ""Post-split parent lags"": ""1/12"", ""Trigger-candidate lags"": ""1/12"", ""Accepted-pair lags"": ""0/12"", ""τ=0-link lags"": ""0/12"", ""Warning runs"": ""0/12""}"
pair_stability,HMML (baseline),,Past-smoothed spectral contrast (4.5–8 / 8–16 Hz),Hydrothermal RMS (2–5 Hz),Lagged,,accepted_split_lag_support,11/36,"{""BH-supported cells"": ""7/36"", ""Partitions"": ""['S1', 'S2', 'S3']"", ""Partition support"": ""3/3"", ""Minimum-I2 values"": ""[36, 48, 60, 72]"", ""Maximum lag orders"": ""[5, 7, 8, 9, 10, 11, 12]"", ""Lag-order support"": ""7/12"", ""Longest adjacent lag run"": 6}"
pair_stability,HMML (baseline),,Hydrothermal RMS (2–5 Hz),Past-smoothed spectral contrast (4.5–8 / 8–16 Hz),Lagged,,accepted_split_lag_support,10/36,"{""BH-supported cells"": ""8/36"", ""Partitions"": ""['S1', 'S2', 'S3']"", ""Partition support"": ""3/3"", ""Minimum-I2 values"": ""[36, 48, 60, 72]"", ""Maximum lag orders"": ""[4, 6, 7, 8, 9, 10, 11, 12]"", ""Lag-order support"": ""8/12"", ""Longest adjacent lag run"": 7}"
