station,time,S_log,T_log,Y_log,CO2_3,AirTemp_3,Patm_3,WindSpeed,CO2_SO2
ME02,2008-04-13 10:00:00+00:00,1.9922382506827081e-07,5.83596890037677e-05,1.456770338932509e-07,0.138828,16.924471,958.110814,13.114754,9.475
ME02,2008-04-13 11:00:00+00:00,1.704920484943388e-07,3.515552825006425e-05,9.099364324176016e-08,0.110228,17.983025,958.210948,20.081967,9.475
ME02,2008-04-13 12:00:00+00:00,1.9843513239139475e-07,3.3620655911802316e-05,1.1799518386348562e-07,0.105713,18.564753,958.468434,9.42623,9.95
ME02,2008-04-13 13:00:00+00:00,1.7955419475790108e-07,2.2506931487135788e-05,1.9665745085351852e-07,0.106214,16.800496,957.924852,20.491803,9.95
ME02,2008-04-13 14:00:00+00:00,1.4038805293439797e-07,1.4460363257944865e-05,6.026504256198394e-08,0.103204,16.423803,957.195308,13.934426,9.95
ME02,2008-04-13 15:00:00+00:00,1.3728642294777529e-07,1.2108789337328693e-05,5.88558092609821e-08,0.1022,16.700362,956.680336,10.655738,9.95
ME02,2008-04-13 16:00:00+00:00,1.4040321235367915e-07,1.5517714541852852e-05,5.987659424542302e-08,0.098186,15.699027,956.637421,0.0,9.95
ME02,2008-04-13 17:00:00+00:00,1.5338829887166646e-07,1.6545909207620825e-05,6.555441031568689e-08,0.101698,14.611863,956.136754,0.0,9.95
ME02,2008-04-13 18:00:00+00:00,1.5398221220762655e-07,1.4416495256522444e-05,6.725071362098716e-08,0.101698,13.314896,955.807744,0.409836,10.425
ME02,2008-04-13 19:00:00+00:00,1.557773871780838e-07,1.8629511821852808e-05,6.797908643343504e-08,0.108723,12.623498,956.008011,0.0,10.425
ME02,2008-04-13 20:00:00+00:00,1.5602271324466794e-07,1.2770597380528872e-05,6.732729276837774e-08,0.120765,11.870113,956.151059,0.0,10.425
ME02,2008-04-13 21:00:00+00:00,1.562164255434072e-07,1.5647034479532017e-05,6.728653734987104e-08,0.112235,12.175281,956.222582,0.0,10.425
ME02,2008-04-13 22:00:00+00:00,1.5699782275213741e-07,1.628934480221915e-05,6.748331935845312e-08,0.125281,11.803357,956.165363,0.819672,10.425
ME02,2008-04-13 23:00:00+00:00,1.5805002331020985e-07,1.4700006242736124e-05,6.855253023246288e-08,0.115748,11.946405,956.236887,0.0,10.425
ME02,2008-04-14 00:00:00+00:00,1.6399973349247588e-07,1.339108737012385e-05,7.446618146919108e-08,0.128292,11.092886,955.636086,12.704918,10.9
ME02,2008-04-14 01:00:00+00:00,1.659245581320133e-07,1.6510394335681482e-05,7.187901902577834e-08,0.132306,10.797253,955.121114,0.0,10.9
ME02,2008-04-14 02:00:00+00:00,1.7384018595493474e-07,1.463532889665011e-05,7.173110893183593e-08,0.131302,10.544536,954.69197,29.098361,10.9
ME02,2008-04-14 03:00:00+00:00,1.7395129288138e-07,1.7435817761932428e-05,7.339073098135926e-08,0.132807,10.058173,954.162693,16.803279,10.9
ME02,2008-04-14 04:00:00+00:00,1.7393225438190822e-07,1.4159658902658727e-05,7.439321931186449e-08,0.132306,10.163075,954.792104,45.491803,10.9
ME02,2008-04-14 05:00:00+00:00,1.810489096285261e-07,1.851736588329402e-05,7.65942502138806e-08,0.127288,10.415792,954.548922,4.098361,10.9
ME02,2008-04-14 06:00:00+00:00,1.8410713728591443e-07,1.90141804626444e-05,7.789026886647952e-08,0.135316,10.811558,955.0782,0.409836,11.8
ME02,2008-04-14 07:00:00+00:00,1.8459154158315467e-07,1.9609811313825456e-05,7.713208562340996e-08,0.132306,11.431432,955.70761,31.557377,11.8
ME02,2008-04-14 08:00:00+00:00,1.9537520408487917e-07,1.5858960409320966e-05,8.355481726055347e-08,0.131804,11.741369,955.965096,7.786885,11.8
ME02,2008-04-14 09:00:00+00:00,2.2238560609237343e-07,0.00016420982938697933,1.6451999647211645e-07,0.126786,12.156208,955.922182,4.098361,11.8
ME02,2008-04-14 10:00:00+00:00,2.1495639946408475e-07,0.00021264926322916275,1.4683330230143289e-07,0.12779,13.157543,955.922182,21.311475,11.8
ME02,2008-04-14 11:00:00+00:00,2.7164485769225843e-07,4.4618546150498035e-05,3.689821231061885e-07,0.131804,13.767881,955.73622,4.508197,11.8
ME02,2008-04-14 12:00:00+00:00,2.0438974066985039e-07,3.0590810881209886e-05,9.827718935699835e-08,0.135818,15.045775,955.850658,9.836066,12.7
ME02,2008-04-14 13:00:00+00:00,1.6360366358991507e-07,3.89411349929506e-05,7.490659531070857e-08,0.12779,13.939538,955.092504,34.42623,12.7
ME02,2008-04-14 14:00:00+00:00,1.3889851334360584e-07,2.0580561390998263e-05,5.926817536868398e-08,0.119762,14.173183,954.949456,13.934426,12.7
ME02,2008-04-14 15:00:00+00:00,1.6260728367244923e-07,3.795144030528308e-05,7.242519776927562e-08,0.12779,14.416365,954.892237,40.163934,12.7
ME02,2008-04-14 16:00:00+00:00,1.5968037280075907e-07,1.150236491755752e-05,6.619609018056499e-08,0.11926,15.594126,955.264162,13.934426,12.7
ME02,2008-04-14 17:00:00+00:00,1.503040683988529e-07,1.6251260103363016e-05,6.858167076699981e-08,0.12779,12.571047,954.677665,19.672131,12.7
ME02,2008-04-14 18:00:00+00:00,1.7138639511086648e-07,1.7449609740693396e-05,8.454082889028256e-08,0.123274,9.881747,954.677665,0.0,13.6
ME02,2008-04-14 19:00:00+00:00,1.836056805044366e-07,1.565242444010978e-05,8.030001601953534e-08,0.12779,9.514591,955.206943,0.0,13.6
ME02,2008-04-14 20:00:00+00:00,1.8835974656526546e-07,1.5325019520694553e-05,8.347522221945578e-08,0.126786,8.794583,955.292771,0.0,13.6
ME02,2008-04-14 21:00:00+00:00,1.9551116112439477e-07,1.513103499191188e-05,8.597274270789054e-08,0.130299,8.909022,955.0782,0.0,13.6
ME02,2008-04-14 22:00:00+00:00,1.9877423150676067e-07,1.9826224446543067e-05,8.678640001402691e-08,0.135316,8.427427,955.0782,0.0,13.6
ME02,2008-04-14 23:00:00+00:00,1.9915338931138998e-07,1.3600570407291931e-05,8.603177012707946e-08,0.135316,8.060271,954.877932,0.409836,13.6
ME02,2008-04-15 00:00:00+00:00,1.9691911849364699e-07,1.6916347795317816e-05,8.856161060576409e-08,0.135316,8.498951,954.39157,3.278689,14.5
ME02,2008-04-15 01:00:00+00:00,1.9309186643909302e-07,1.4799897305995249e-05,9.983804899058256e-08,0.126786,9.032996,953.70494,6.967213,14.5
ME02,2008-04-15 02:00:00+00:00,1.9397391290508158e-07,1.632084718306985e-05,1.0396332746978185e-07,0.134814,12.304024,953.390235,43.032787,14.5
ME02,2008-04-15 03:00:00+00:00,1.9734662293057324e-07,1.5418852051403846e-05,1.3492486810010063e-07,0.134814,11.049971,952.875262,54.098361,14.5
ME02,2008-04-15 04:00:00+00:00,2.07109691707103e-07,2.0762942746791666e-05,1.8112071016054835e-07,0.125783,10.287049,952.71791,6.967213,14.5
ME02,2008-04-15 05:00:00+00:00,2.0973099713879993e-07,1.8935070137539183e-05,1.5798613692845194e-07,0.138828,11.669846,952.71791,14.344262,14.5
ME02,2008-04-15 06:00:00+00:00,2.1607899542502908e-07,1.7802053880598036e-05,1.259706097720156e-07,0.133811,13.30536,953.404539,13.934426,13.2875
ME02,2008-04-15 07:00:00+00:00,2.790762912645497e-07,0.0002774978809843053,1.6313157122905472e-07,0.146857,14.468816,954.03395,66.393443,13.2875
ME02,2008-04-15 08:00:00+00:00,3.460582259679197e-07,0.00037882337211883865,1.635696394985345e-07,0.126285,16.023269,954.606142,21.721311,13.2875
ME02,2008-04-15 09:00:00+00:00,3.2192766294692546e-07,0.00011478110822885334,1.5638976672660735e-07,0.139832,16.380889,954.992371,88.52459,13.2875
ME02,2008-04-15 10:00:00+00:00,2.61988180447876e-07,3.1662437169376054e-05,1.1044031451277956e-07,0.115246,17.06275,956.03662,52.459016,13.2875
ME02,2008-04-15 11:00:00+00:00,2.7297921446614013e-07,3.879971325197791e-05,1.155042226886252e-07,0.131302,18.250048,956.122449,43.852459,13.2875
ME02,2008-04-15 12:00:00+00:00,2.884239637651386e-07,3.0767071327868774e-05,1.4563882203467717e-07,0.140835,16.752813,955.392905,99.180328,12.075
ME02,2008-04-15 13:00:00+00:00,3.0596670733960325e-07,3.062028019122482e-05,1.324115686395175e-07,0.140835,16.976922,955.164028,93.032787,12.075
ME02,2008-04-15 14:00:00+00:00,3.1083697566625593e-07,3.7850553604195816e-05,1.5857185995838577e-07,0.135818,17.024604,955.092504,79.508197,12.075
ME02,2008-04-15 15:00:00+00:00,3.6044028636460946e-07,0.00013103678283133717,1.9167688504712053e-07,0.132306,16.633607,955.178333,34.836066,12.075
ME02,2008-04-15 16:00:00+00:00,3.1554076878642225e-07,2.094514695219299e-05,1.7455272585418892e-07,0.126786,15.660881,955.307076,62.295082,12.075
ME02,2008-04-15 17:00:00+00:00,2.6549353104391387e-07,1.7868557873308867e-05,1.9798044214373457e-07,0.127288,13.24814,955.063895,64.754098,12.075
