station,time,S_log,T_log,Y_log,CO2_3,AirTemp_3,pressure_drop,WindSpeed,CO2_SO2
ME01,2008-04-12 00:00:00+00:00,1.2020675811069287e-07,1.4081995860156459e-05,8.143123475174105e-09,0.110228,15.479687,-0.07152399999995396,0.0,13.0
ME01,2008-04-12 01:00:00+00:00,4.2391845035111124e-08,9.07693587340288e-06,1.5936190807137764e-08,0.1022,20.390998,0.11443799999995008,3.278689,13.0
ME01,2008-04-12 02:00:00+00:00,4.0458894329609436e-08,1.0147110604764601e-05,6.98755281304045e-08,0.109727,16.810032,0.31470500000000357,0.0,13.0
ME01,2008-04-12 03:00:00+00:00,3.816197221394441e-08,8.017288902673054e-07,2.5599449769373298e-08,0.106214,17.158116,0.20026700000005349,0.0,13.0
ME01,2008-04-12 04:00:00+00:00,3.7667679746395716e-08,4.828410904015937e-07,2.6150962006320125e-08,0.105713,16.290292,-0.028609000000074047,0.0,13.0
ME01,2008-04-12 05:00:00+00:00,4.087904772319222e-08,3.199574545324741e-07,2.5758266771796387e-08,0.118256,15.408163,0.21457100000009177,0.0,13.0
ME01,2008-04-12 06:00:00+00:00,4.070502814402315e-08,1.9309014298866641e-07,3.9732029624291566e-08,0.109727,16.571619,-1.2159060000000181,0.0,12.0
ME01,2008-04-12 07:00:00+00:00,4.384182496321432e-08,2.810143823421759e-06,2.552266776507793e-08,0.109225,20.114438,-0.6723250000000007,0.0,12.0
ME01,2008-04-12 08:00:00+00:00,4.529710474973836e-08,9.497186874470508e-07,2.732769433882956e-08,0.109727,19.556552,-0.7152399999999943,4.098361,12.0
ME01,2008-04-12 09:00:00+00:00,4.8021581463022593e-08,3.573801657995608e-07,3.116717253786629e-08,0.110228,21.158688,-0.8725920000000542,4.098361,12.0
ME01,2008-04-12 10:00:00+00:00,4.58481360046458e-08,8.175422710700389e-07,5.323347005461603e-08,0.107218,21.854854,-0.27179100000000744,41.393443,12.0
ME01,2008-04-12 11:00:00+00:00,4.7316482432437054e-08,2.4045564172206635e-07,3.074569810992296e-08,0.099691,21.821476,-0.4005339999999933,28.688525,12.0
ME01,2008-04-12 12:00:00+00:00,5.0277751718744486e-08,2.5296334595948067e-07,2.5907283558225827e-08,0.099691,22.784665,0.014305000000035761,18.032787,11.0
ME01,2008-04-12 13:00:00+00:00,6.367981030938553e-08,2.8395135732103734e-07,2.9788606630115002e-08,0.096179,21.296967,0.08582899999998972,2.04918,11.0
ME01,2008-04-12 14:00:00+00:00,7.440038320651922e-08,7.287256385090251e-07,3.1039126595992305e-08,0.088151,21.397101,0.100133000000028,20.491803,11.0
