time,station,teleseismic_scaled,background_seismic_scaled,effect_seismic_scaled,CO2_3_scaled,AirTemp_3_scaled,pressure_drop_scaled,WindSpeed_scaled,API_scaled,CO2_SO2_scaled
2008-04-12 00:00:00+00:00,ESLN,39.11001577580638,-0.26328163401453114,-0.5199720326013524,-1.4847494851365415,0.36032675275432496,-0.24849777111606483,-0.6744907594765952,-0.6769910005143124,1.0855948645203055
2008-04-12 01:00:00+00:00,ESLN,14.87317934145116,-0.19721846203987234,-0.05968279331241028,-1.8777877086071568,1.681097839150098,0.21299525335390815,-0.3570832920003521,-0.6769910005143124,1.0855948645203055
2008-04-12 02:00:00+00:00,ESLN,30.266895451087862,-0.32837338131582877,-0.6187141498232444,-1.5091943829728764,0.7180889085068692,0.7099883139340292,-0.6744907594765952,-0.6769910005143124,1.0855948645203055
2008-04-12 03:00:00+00:00,ESLN,1.7048581662011437,-0.2229407851344528,-0.6275078057465325,-1.6809120521863017,0.8116971696894713,0.42599298836053034,-0.6744907594765952,-0.6769910005143124,1.0855948645203055
2008-04-12 04:00:00+00:00,ESLN,40.14647557185957,-0.42849590519527436,-0.32316492439490313,-1.7054456706931322,0.5783181702165557,-0.14199766278703152,-0.6744907594765952,-0.6769910005143124,1.0855948645203055
2008-04-12 05:00:00+00:00,ESLN,1593630.0657804308,9117.149759994563,286861.7799064088,-1.0945430865804247,0.34109220800988266,0.46149054281810536,-0.6744907594765952,-0.6769910005143124,1.0855948645203055
2008-04-12 06:00:00+00:00,ESLN,-0.404321358742635,-0.3457862844488419,-0.08865302071736775,-1.5091943829728764,0.653973849000176,-3.088455990157045,-0.6744907594765952,-0.6769910005143124,0.7456176559100397
2008-04-12 07:00:00+00:00,ESLN,-0.5858211354224808,-0.24021750446923695,-0.19171713331527748,-1.5336991445423536,1.606724122711938,-1.7394769528561456,-0.6744907594765952,-0.6769910005143124,0.7456176559100397
2008-04-12 08:00:00+00:00,ESLN,1021028.2442717253,8795.426113652496,286933.64137393166,-1.5091943829728764,1.4566949964145008,-1.8459770611854611,-0.2777314493336072,-0.6769910005143124,0.7456176559100397
2008-04-12 09:00:00+00:00,ESLN,1056051.1805969775,8671.192982561324,286823.614754666,-1.4847494851365415,1.8875483684110574,-2.2364700134362665,-0.2777314493336072,-0.6769910005143124,0.7456176559100397
