time,station,teleseismic_band_scaled,background_seismic_scaled,effect_seismic_scaled,CO2_3_scaled,AirTemp_3_scaled,pressure_drop_scaled,WindSpeed_scaled,API_scaled,CO2_SO2_scaled
2008-04-12 00:00:00+00:00,ME02,0.10060505609906749,2.1231568975382196,-0.5818469058655349,-1.4557658853381008,0.3274289220126321,-0.24849777111606483,-0.6744907594765952,-0.6774184543861609,1.050045902013778
2008-04-12 01:00:00+00:00,ME02,-0.7593551931894296,-0.5292617403258847,-0.5427562059045095,-1.8506263740681623,1.632078025529748,0.21299525335390815,-0.33724532830837683,-0.6774184543861609,1.050045902013778
2008-04-12 02:00:00+00:00,ME02,-0.7901903918328966,-0.4982212326436691,0.01122296267013147,-1.480324118431512,0.6808240565537916,0.7099883139340292,-0.6744907594765952,-0.6774184543861609,1.050045902013778
2008-04-12 03:00:00+00:00,ME02,-0.600978817660483,-0.606868009084237,-0.5551411937967287,-1.6528379319493705,0.7732896891615927,0.42599298836053034,-0.6744907594765952,-0.6774184543861609,1.050045902013778
2008-04-12 04:00:00+00:00,ME02,-0.5084666321994935,-0.6654643561548605,-0.6293290437206749,-1.6774852970539207,0.5427594287869929,-0.14199766278703152,-0.6744907594765952,-0.6774184543861609,1.050045902013778
2008-04-12 05:00:00+00:00,ME02,20.434810025765263,4.171057561479285,164.77857484138175,-1.0637503508719353,0.3084291636019026,0.46149054281810536,-0.6744907594765952,-0.6774184543861609,1.050045902013778
2008-04-12 06:00:00+00:00,ME02,2031.6089225183273,1413.8077715546913,5794.185475423044,-1.480324118431512,0.6174916170652666,-3.088455990157045,-0.6744907594765952,-0.6774184543861609,0.7147909463214366
2008-04-12 07:00:00+00:00,ME02,0.053989059597623484,0.28943474813808806,1.3262603294193895,-1.5049424928076642,1.5586121513326765,-1.7394769528561456,-0.6744907594765952,-0.6774184543861609,0.7147909463214366
2008-04-12 08:00:00+00:00,ME02,1.9152495674454506,3.043710933436167,2.5074709692295065,-1.480324118431512,1.410414354499051,-1.8459770611854611,-0.25293399623128265,-0.6774184543861609,0.7147909463214366
2008-04-12 09:00:00+00:00,ME02,0.7093085896765479,1.460109613464302,1.6194564414941175,-1.4557658853381008,1.8360085178726393,-2.2364700134362665,-0.25293399623128265,-0.6774184543861609,0.7147909463214366
2008-04-12 10:00:00+00:00,ME02,1.3356962094963567,-0.6010164571292663,0.18368950960046543,-1.6034783908627595,2.0209392518048,-0.7454908316961858,3.583232230435553,-0.6774184543861609,0.7147909463214366
2008-04-12 11:00:00+00:00,ME02,1.7266439974793661,-0.8153957406752561,-0.48667467157151256,-1.9746226345980606,2.012072662460897,-1.0649861933795504,2.27640637752091,-0.6774184543861609,0.7147909463214366
2008-04-12 12:00:00+00:00,ME02,1.0054612809737598,1.0896903873465804,1.0479368914888516,-1.9746226345980606,2.267935845502563,-0.03550003610972479,1.180358854799002,-0.6774184543861609,0.3526880087464695
