time,teleseismic,local_event_rate_state,local_event_rate_response,CO2_3,pressure_drop,rainfall_mm
2008-04-11 14:00:00+00:00,1.0849264972030012e-07,1.0986122886681098,0.0,0.087649,0.7295440000000326,0.0
2008-04-11 15:00:00+00:00,1.1168451354815108e-07,1.0986122886681098,0.0,0.088653,0.486362999999983,0.0
2008-04-11 16:00:00+00:00,4.522414062629596e-07,1.0986122886681098,0.0,0.079621,0.057218999999918196,0.0
2008-04-11 17:00:00+00:00,2.5206503974169223e-07,1.0986122886681098,0.0,0.092165,0.47205800000006093,0.0
2008-04-11 18:00:00+00:00,8.128987061827082e-07,1.0986122886681098,0.0,0.087649,0.04291399999999612,0.0
2008-04-11 19:00:00+00:00,4.2473827487864084e-07,1.0986122886681098,0.0,0.095677,-0.486362999999983,0.0
2008-04-11 20:00:00+00:00,1.3608080154220178e-07,1.0986122886681098,0.0,0.087148,-0.42914300000006733,0.0
2008-04-11 21:00:00+00:00,1.434444233604542e-07,1.0986122886681098,0.0,0.09919,0.1573520000000599,0.0
2008-04-11 22:00:00+00:00,1.2425721328399236e-07,1.0986122886681098,0.0,0.102702,0.4434489999999869,0.0
2008-04-11 23:00:00+00:00,1.276837818752614e-07,1.0986122886681098,0.0,0.094674,0.21457199999997556,0.0
2008-04-12 00:00:00+00:00,1.2564665953740246e-05,1.0986122886681098,0.0,0.110228,-0.07152399999995396,0.0
2008-04-12 01:00:00+00:00,6.323182948798106e-06,1.0986122886681098,0.0,0.1022,0.11443799999995008,0.0
2008-04-12 02:00:00+00:00,9.794758666939773e-06,1.0986122886681098,0.0,0.109727,0.31470500000000357,0.0
2008-04-12 03:00:00+00:00,7.913959706983779e-07,1.0986122886681098,0.0,0.106214,0.20026700000005349,0.0
2008-04-12 04:00:00+00:00,2.0103523021352312e-07,1.0986122886681098,0.0,0.105713,-0.028609000000074047,0.0
2008-04-12 05:00:00+00:00,3.262951844262395e-07,1.0986122886681098,0.0,0.118256,0.21457100000009177,0.0
2008-04-12 06:00:00+00:00,1.20483016788099e-07,1.0986122886681098,0.0,0.109727,-1.2159060000000181,0.0
2008-04-12 07:00:00+00:00,1.2971145823470275e-07,1.0986122886681098,0.0,0.109225,-0.6723250000000007,0.0
2008-04-12 08:00:00+00:00,1.239321068689231e-07,1.0986122886681098,0.0,0.109727,-0.7152399999999943,0.0
2008-04-12 09:00:00+00:00,1.4516404602666721e-07,1.0986122886681098,0.0,0.110228,-0.8725920000000542,0.0
2008-04-12 10:00:00+00:00,1.372216376166334e-07,1.0986122886681098,0.0,0.107218,-0.27179100000000744,0.0
2008-04-12 11:00:00+00:00,1.5580275601435646e-07,1.0986122886681098,0.0,0.099691,-0.4005339999999933,0.0
2008-04-12 12:00:00+00:00,1.638437106856146e-07,1.0986122886681098,0.0,0.099691,0.014305000000035761,0.0
2008-04-12 13:00:00+00:00,1.8796118847377863e-07,1.0986122886681098,0.0,0.096179,0.08582899999998972,0.0
2008-04-12 14:00:00+00:00,2.1457258856709675e-07,1.0986122886681098,0.0,0.088151,0.100133000000028,0.0
2008-04-12 15:00:00+00:00,2.516130895677322e-07,1.0986122886681098,0.0,0.096179,-0.17165699999998196,0.0
2008-04-12 16:00:00+00:00,2.9843916645279677e-07,1.0986122886681098,0.0,0.095677,0.0143039999999246,0.0
2008-04-12 17:00:00+00:00,2.827989428742647e-07,1.0986122886681098,0.6931471805599453,0.087148,-0.37192399999992176,0.0
2008-04-12 18:00:00+00:00,3.0549081454331886e-07,1.0986122886681098,1.0986122886681098,0.098688,-0.41483900000002905,0.0
2008-04-12 19:00:00+00:00,3.0232723713236273e-07,1.0986122886681098,1.0986122886681098,0.1022,-1.0156400000000758,0.0
2008-04-12 20:00:00+00:00,3.118194132970323e-07,1.0986122886681098,1.0986122886681098,0.098186,-0.48636199999998553,0.0
2008-04-12 21:00:00+00:00,2.99783832764547e-07,1.0986122886681098,1.0986122886681098,0.106214,-0.5292779999999766,0.0
2008-04-12 22:00:00+00:00,2.812734778482477e-07,1.0986122886681098,1.0986122886681098,0.109727,0.028610000000071523,0.0
2008-04-12 23:00:00+00:00,2.4544219047046487e-07,1.3862943611198906,1.0986122886681098,0.126285,-0.4434480000001031,0.0
2008-04-13 00:00:00+00:00,2.5566941599651744e-07,1.6094379124341003,0.6931471805599453,0.117755,0.08582799999999224,0.0
2008-04-13 01:00:00+00:00,2.396617888660767e-07,1.6094379124341003,0.6931471805599453,0.121267,0.12874300000009953,0.2
2008-04-13 02:00:00+00:00,2.2837372840361323e-07,1.6094379124341003,0.6931471805599453,0.116751,-0.1430480000000216,0.7
2008-04-13 03:00:00+00:00,1.9996684144139155e-07,1.6094379124341003,0.6931471805599453,0.124779,0.35761999999999716,0.5
2008-04-13 04:00:00+00:00,1.8678796751440695e-07,1.6094379124341003,0.6931471805599453,0.123776,0.12874299999998584,0.0
2008-04-13 05:00:00+00:00,1.794694001821935e-07,1.6094379124341003,0.6931471805599453,0.117253,-0.31470500000000357,0.9
2008-04-13 06:00:00+00:00,1.8565872079383202e-07,1.6094379124341003,0.6931471805599453,0.116249,-0.658019999999965,0.1
2008-04-13 07:00:00+00:00,1.796718738336522e-07,1.3862943611198906,0.6931471805599453,0.116249,-1.0442500000000337,1.1
2008-04-13 08:00:00+00:00,2.0307666324467752e-07,1.3862943611198906,1.0986122886681098,0.128793,-0.9012010000000146,1.2
2008-04-13 09:00:00+00:00,1.8997844467767467e-07,1.3862943611198906,1.0986122886681098,0.109727,-0.6151059999999688,1.7
2008-04-13 10:00:00+00:00,2.0376779174323487e-07,1.3862943611198906,0.7520386983881371,0.138828,-0.45775300000002517,0.6
2008-04-13 11:00:00+00:00,1.932390610488119e-07,1.6094379124341003,0.0,0.110228,-0.10013400000002548,0.7
2008-04-13 12:00:00+00:00,1.8737456780281088e-07,1.6094379124341003,0.0,0.105713,-0.2574859999999717,0.2
2008-04-13 13:00:00+00:00,2.0668240497548937e-07,1.6094379124341003,0.0,0.106214,0.5435820000000149,0.0
