time,teleseismic_scaled,local_event_rate_state_scaled,local_event_rate_anomaly_scaled,CO2_3_scaled,pressure_drop_scaled,WindSpeed_scaled,rain_6h_sum_scaled
2008-04-12 12:00:00+00:00,-0.6605482422338719,-2.8271533411589975,-0.2862074265770891,-2.1509257405269846,0.04737315107701174,0.10583225423079305,-0.4637239809227854
2008-04-12 13:00:00+00:00,-0.6389465318438822,-2.8271533411589975,-0.2862074265770891,-2.3161383801934403,0.23342343050189276,-0.6174624408791309,-0.4637239809227854
2008-04-12 14:00:00+00:00,-0.6180013828141401,-2.8271533411589975,-0.2862074265770891,-2.6957907252397737,0.2705255256650097,0.21710834028511275,-0.4637239809227854
2008-04-12 15:00:00+00:00,-0.5926876327893942,-2.8271533411589975,-0.2862074265770891,-2.3161383801934403,-0.4348958835779336,-0.4320022522029827,-0.4637239809227854
2008-04-12 16:00:00+00:00,-0.5653993590621903,-2.8271533411589975,-0.2862074265770891,-2.3397968539485214,0.04737054630689586,0.45820657198842074,-0.4637239809227854
2008-04-12 17:00:00+00:00,-0.5732052407000343,-2.8271533411589975,2.3575952251281502,-2.7434203348209483,-0.9377148516340754,-0.710192512591064,-0.4637239809227854
2008-04-12 18:00:00+00:00,1.7801418151608919,-1.1835344199858853,2.3575952251281502,-2.198055303691007,-1.0417456281414899,1.9604339599831466,-0.4637239809227854
2008-04-12 19:00:00+00:00,-0.16969319360916793,-0.5134405742659488,-0.2862074265770891,-2.033219347633526,-2.3145979525426124,-0.6916464982486774,-0.4637239809227854
2008-04-12 20:00:00+00:00,-0.5580772568476564,-0.5134405742659488,-0.2862074265770891,-2.2216597378309615,-1.211601795836653,-0.6174624408791309,-0.4637239809227854
2008-04-12 21:00:00+00:00,-0.5646475334269108,-0.5134405742659488,-0.2862074265770891,-1.8454639751865787,-1.3112806436985467,-0.710192512591064,-0.4637239809227854
2008-04-12 22:00:00+00:00,-0.5748897298934613,-0.5134405742659488,-0.2862074265770891,-1.6817011437374336,0.08462930244492325,-0.1723580061572881,-0.4637239809227854
2008-04-12 23:00:00+00:00,-0.5966397279426917,-0.5134405742659488,2.3575952251281502,-0.9167447043218075,-1.110231948420881,0.532390629357967,-0.4637239809227854
2008-04-13 00:00:00+00:00,-0.5901295970517468,-0.1124673160401679,-0.2862074265770891,-1.309403695953396,0.2334208350079469,0.6993048036917288,-0.4637239809227854
2008-04-13 01:00:00+00:00,-0.6004394127439897,-0.1124673160401679,-0.2862074265770891,-1.1473751552530642,0.344569935042832,-0.710192512591064,-0.06756417503587651
2008-04-13 02:00:00+00:00,-0.6081124623675344,-0.1124673160401679,-0.2862074265770891,-1.3558175075375873,-0.3612765280430251,0.6622127750069555,0.9309367241806562
2008-04-13 03:00:00+00:00,-0.612036935457001,-0.1124673160401679,-0.2862074265770891,-0.9858533229317439,0.9229275673608383,-0.07962793444535511,1.4385498431326598
2008-04-13 04:00:00+00:00,1.7660974856944835,-0.1124673160401679,-0.2862074265770891,-1.0319312003337628,0.34456993504253824,0.08728623988840653,1.4385498431326598
2008-04-13 05:00:00+00:00,-0.478453049281405,-0.1124673160401679,2.3575952251281502,-1.3326053881246285,-0.7967460007431704,-0.710192512591064,2.1305062443521545
2008-04-13 06:00:00+00:00,-0.6408528713721375,0.1665515539382545,-0.2862074265770891,-1.3790400635688498,-1.5996371312505258,-0.710192512591064,2.195372650138126
2008-04-13 07:00:00+00:00,-0.6460649841692144,0.1665515539382545,-0.2862074265770891,-1.3790400635688498,-2.3665160808842325,-0.4134562378605962,2.705646961370143
2008-04-13 08:00:00+00:00,-0.6264038276846093,0.1665515539382545,2.3575952251281502,-0.8018602776814162,-2.099343167675057,-0.710192512591064,2.944663861301197
2008-04-13 09:00:00+00:00,1.7456503760336053,0.377352387064016,-0.2862074265770891,-1.6817011437374336,-1.5053312930342668,-0.3207261661486631,3.4295242778533437
2008-04-13 10:00:00+00:00,-0.2462884968852678,0.377352387064016,-0.2862074265770891,-0.34472497681041064,-1.1442069857618797,-0.11671996313012835,3.636620262520691
2008-04-13 11:00:00+00:00,-0.6345791845310589,0.377352387064016,-0.2862074265770891,-1.6583886581761034,-0.25030936261953857,0.19856232594272605,3.569757657030677
2008-04-13 12:00:00+00:00,-0.6393009356683474,0.377352387064016,-0.2862074265770891,-1.868861071424696,-0.6534519822359848,-0.2836340922116077,3.6034461337886055
2008-04-13 13:00:00+00:00,-0.6238493285109575,0.377352387064016,-0.2862074265770891,-1.8454639751865787,1.3643356334160934,0.21710834028511275,3.2005902880107726
2008-04-13 14:00:00+00:00,1.729176866000909,0.377352387064016,-0.2862074265770891,-1.986193070065717,1.7729426205266483,-0.07962793444535511,2.654518408880984
2008-04-13 15:00:00+00:00,1.7785713821025027,0.377352387064016,-0.2862074265770891,-2.033219347633526,1.2984637740425058,-0.22799604918444794,1.5272504537978986
